player,nation,squad,saves,save%,wc_saves,Predicted_WC_Saves
Mark Flekken,nl NED,Bayer Leverkusen,150.0,73.4,0.0,27
Joan García,es ESP,Barcelona,140.0,75.5,0.0,26
Yehvann Diouf,sn SEN,Nice,131.0,76.0,0.0,24
Jordan Pickford,eng ENG,Everton,117.0,73.0,7.0,21
Alisson,br BRA,Liverpool,0.0,74.0,0.0,20
Manuel Neuer,de GER,Bayern Munich,0.0,72.0,19.0,20
Thibaut Courtois,be BEL,Real Madrid,0.0,73.0,27.0,19
Zion Suzuki,jp JPN,Parma,99.0,68.0,0.0,18
Emiliano Martínez,ar ARG,Aston Villa,96.0,69.0,6.0,18
Nikola Vasilj,ba BIH,St. Pauli,93.0,71.9,0.0,17
Mike Maignan,fr FRA,AC Milan,97.0,70.6,0.0,17
Unai Simón,es ESP,Athletic Club,0.0,72.0,0.0,17
David Raya,es ESP,Arsenal,86.0,74.2,0.0,16
Gerónimo Rulli,ar ARG,Marseille,87.0,67.4,0.0,16
Bart Verbruggen,nl NED,Brighton,87.0,65.7,0.0,16
